sample_id,conflict_keyword_count,non_conflict_keyword_count,keyword_density,conflict_ratio,negative_word_count,question_mark_count,exclamation_mark_count,government_phrase_count,word_count,label
PLAN_0_0052,0,7,0.0,0.0,1,0,0,11,1529,0
PLAN_0_0053,0,1,0.0,0.0,0,0,0,7,949,0
PLAN_0_0054,0,7,0.0,0.0,0,0,0,6,558,0
PLAN_0_0055,0,9,0.0,0.0,0,0,0,5,443,0
PLAN_0_0056,0,5,0.0,0.0,0,0,0,3,236,0
PLAN_0_0057,0,0,0.0,0.0,0,0,0,2,121,0
PLAN_0_0058,0,4,0.0,0.0,0,0,0,2,312,0
POLICY_0_0001,0,6,0.0,0.0,0,0,0,0,456,0
POLICY_0_0002,0,0,0.0,0.0,0,0,0,0,380,0
POLICY_0_0003,0,0,0.0,0.0,0,0,0,0,110,0
POLICY_0_0004,0,0,0.0,0.0,0,0,0,0,360,0
POLICY_0_0005,5,5,0.013157894736842105,0.5,0,0,0,0,380,0
POLICY_0_0006,0,0,0.0,0.0,0,0,0,0,144,0
POLICY_0_0007,0,0,0.0,0.0,0,0,0,0,330,0
POLICY_0_0008,0,0,0.0,0.0,0,0,0,0,120,0
POLICY_0_0009,0,0,0.0,0.0,0,0,0,0,312,0
POLICY_0_0010,0,7,0.0,0.0,0,0,0,0,518,0
POLICY_0_0011,3,3,0.013513513513513514,0.5,0,0,0,0,222,0
CONFLICT_1_0001,15,15,0.03571428571428571,0.5,0,0,0,0,420,1
CONFLICT_1_0002,12,12,0.03571428571428571,0.5,0,0,0,0,336,1
CONFLICT_1_0003,6,6,0.03333333333333333,0.5,0,0,0,0,180,1
CONFLICT_1_0004,15,0,0.034482758620689655,1.0,0,0,0,0,435,1
CONFLICT_1_0005,8,8,0.03571428571428571,0.5,0,0,0,0,224,1
CONFLICT_1_0006,12,12,0.03571428571428571,0.5,0,0,0,0,336,1
CONFLICT_1_0007,6,0,0.03333333333333333,1.0,0,0,0,0,180,1
CONFLICT_1_0008,14,14,0.03571428571428571,0.5,0,0,0,0,392,1
CONFLICT_1_0009,6,6,0.034482758620689655,0.5,0,0,0,0,174,1
CONFLICT_1_0010,10,10,0.03571428571428571,0.5,0,0,0,0,280,1
CONFLICT_1_0011,10,10,0.03571428571428571,0.5,0,0,0,0,280,1
CONFLICT_1_0012,10,10,0.03571428571428571,0.5,0,0,0,0,280,1
CONFLICT_1_0013,15,15,0.03571428571428571,0.5,0,0,0,0,420,1
CONFLICT_1_0014,10,10,0.03333333333333333,0.5,0,0,0,0,300,1
