sample_id,label,repeat,fold,random_seed
CONFLICT_1_0013,1,1,5,42
PLAN_0_0008,0,1,5,42
PLAN_0_0013,0,1,5,42
PLAN_0_0025,0,1,5,42
PLAN_0_0028,0,1,5,42
PLAN_0_0029,0,1,5,42
PLAN_0_0034,0,1,5,42
PLAN_0_0043,0,1,5,42
PLAN_0_0047,0,1,5,42
PLAN_0_0052,0,1,5,42
PLAN_0_0055,0,1,5,42
POLICY_0_0005,0,1,5,42
POLICY_0_0007,0,1,5,42
POLICY_0_0011,0,1,5,42
CONFLICT_1_0004,1,2,1,43
CONFLICT_1_0005,1,2,1,43
CONFLICT_1_0011,1,2,1,43
PLAN_0_0001,0,2,1,43
PLAN_0_0008,0,2,1,43
PLAN_0_0015,0,2,1,43
PLAN_0_0016,0,2,1,43
PLAN_0_0018,0,2,1,43
PLAN_0_0020,0,2,1,43
PLAN_0_0022,0,2,1,43
PLAN_0_0029,0,2,1,43
PLAN_0_0032,0,2,1,43
PLAN_0_0057,0,2,1,43
PLAN_0_0058,0,2,1,43
POLICY_0_0002,0,2,1,43
POLICY_0_0009,0,2,1,43
POLICY_0_0010,0,2,1,43
CONFLICT_1_0003,1,2,2,43
CONFLICT_1_0008,1,2,2,43
CONFLICT_1_0013,1,2,2,43
PLAN_0_0007,0,2,2,43
PLAN_0_0011,0,2,2,43
PLAN_0_0017,0,2,2,43
PLAN_0_0019,0,2,2,43
PLAN_0_0021,0,2,2,43
PLAN_0_0027,0,2,2,43
PLAN_0_0028,0,2,2,43
PLAN_0_0039,0,2,2,43
PLAN_0_0041,0,2,2,43
PLAN_0_0043,0,2,2,43
PLAN_0_0049,0,2,2,43
PLAN_0_0050,0,2,2,43
PLAN_0_0053,0,2,2,43
POLICY_0_0007,0,2,2,43
CONFLICT_1_0001,1,2,3,43
CONFLICT_1_0009,1,2,3,43
CONFLICT_1_0012,1,2,3,43
PLAN_0_0003,0,2,3,43
PLAN_0_0004,0,2,3,43
PLAN_0_0023,0,2,3,43
PLAN_0_0030,0,2,3,43
PLAN_0_0033,0,2,3,43
PLAN_0_0035,0,2,3,43
PLAN_0_0036,0,2,3,43
PLAN_0_0037,0,2,3,43
PLAN_0_0045,0,2,3,43
PLAN_0_0047,0,2,3,43
PLAN_0_0051,0,2,3,43
PLAN_0_0056,0,2,3,43
POLICY_0_0005,0,2,3,43
POLICY_0_0011,0,2,3,43
CONFLICT_1_0002,1,2,4,43
CONFLICT_1_0006,1,2,4,43
CONFLICT_1_0014,1,2,4,43
PLAN_0_0002,0,2,4,43
PLAN_0_0005,0,2,4,43
PLAN_0_0006,0,2,4,43
PLAN_0_0009,0,2,4,43
PLAN_0_0010,0,2,4,43
PLAN_0_0012,0,2,4,43
PLAN_0_0013,0,2,4,43
PLAN_0_0014,0,2,4,43
PLAN_0_0031,0,2,4,43
PLAN_0_0038,0,2,4,43
PLAN_0_0040,0,2,4,43
PLAN_0_0042,0,2,4,43
PLAN_0_0046,0,2,4,43
POLICY_0_0008,0,2,4,43
CONFLICT_1_0007,1,2,5,43
CONFLICT_1_0010,1,2,5,43
PLAN_0_0024,0,2,5,43
PLAN_0_0025,0,2,5,43
PLAN_0_0026,0,2,5,43
PLAN_0_0034,0,2,5,43
PLAN_0_0044,0,2,5,43
PLAN_0_0048,0,2,5,43
PLAN_0_0052,0,2,5,43
PLAN_0_0054,0,2,5,43
PLAN_0_0055,0,2,5,43
POLICY_0_0001,0,2,5,43
POLICY_0_0003,0,2,5,43
POLICY_0_0004,0,2,5,43
POLICY_0_0006,0,2,5,43
CONFLICT_1_0004,1,3,1,44
CONFLICT_1_0009,1,3,1,44
CONFLICT_1_0011,1,3,1,44
PLAN_0_0003,0,3,1,44
PLAN_0_0011,0,3,1,44
PLAN_0_0012,0,3,1,44
PLAN_0_0022,0,3,1,44
PLAN_0_0023,0,3,1,44
PLAN_0_0024,0,3,1,44
PLAN_0_0031,0,3,1,44
PLAN_0_0032,0,3,1,44
PLAN_0_0042,0,3,1,44
PLAN_0_0051,0,3,1,44
POLICY_0_0003,0,3,1,44
POLICY_0_0006,0,3,1,44
POLICY_0_0010,0,3,1,44
POLICY_0_0011,0,3,1,44
CONFLICT_1_0002,1,3,2,44
CONFLICT_1_0012,1,3,2,44
CONFLICT_1_0014,1,3,2,44
PLAN_0_0002,0,3,2,44
PLAN_0_0005,0,3,2,44
PLAN_0_0007,0,3,2,44
PLAN_0_0015,0,3,2,44
PLAN_0_0020,0,3,2,44
PLAN_0_0026,0,3,2,44
PLAN_0_0034,0,3,2,44
PLAN_0_0035,0,3,2,44
PLAN_0_0046,0,3,2,44
PLAN_0_0047,0,3,2,44
PLAN_0_0048,0,3,2,44
PLAN_0_0052,0,3,2,44
PLAN_0_0054,0,3,2,44
POLICY_0_0004,0,3,2,44
CONFLICT_1_0003,1,3,3,44
CONFLICT_1_0005,1,3,3,44
CONFLICT_1_0013,1,3,3,44
PLAN_0_0001,0,3,3,44
PLAN_0_0009,0,3,3,44
PLAN_0_0010,0,3,3,44
PLAN_0_0014,0,3,3,44
PLAN_0_0016,0,3,3,44
PLAN_0_0017,0,3,3,44
PLAN_0_0019,0,3,3,44
PLAN_0_0038,0,3,3,44
PLAN_0_0044,0,3,3,44
PLAN_0_0045,0,3,3,44
POLICY_0_0002,0,3,3,44
POLICY_0_0007,0,3,3,44
POLICY_0_0008,0,3,3,44
POLICY_0_0009,0,3,3,44
CONFLICT_1_0001,1,3,4,44
CONFLICT_1_0008,1,3,4,44
CONFLICT_1_0010,1,3,4,44
PLAN_0_0004,0,3,4,44
PLAN_0_0018,0,3,4,44
PLAN_0_0021,0,3,4,44
PLAN_0_0025,0,3,4,44
PLAN_0_0027,0,3,4,44
PLAN_0_0028,0,3,4,44
PLAN_0_0029,0,3,4,44
PLAN_0_0033,0,3,4,44
PLAN_0_0036,0,3,4,44
PLAN_0_0037,0,3,4,44
PLAN_0_0039,0,3,4,44
PLAN_0_0053,0,3,4,44
PLAN_0_0055,0,3,4,44
PLAN_0_0056,0,3,4,44
CONFLICT_1_0006,1,3,5,44
CONFLICT_1_0007,1,3,5,44
PLAN_0_0006,0,3,5,44
PLAN_0_0008,0,3,5,44
PLAN_0_0013,0,3,5,44
PLAN_0_0030,0,3,5,44
PLAN_0_0040,0,3,5,44
PLAN_0_0041,0,3,5,44
PLAN_0_0043,0,3,5,44
PLAN_0_0049,0,3,5,44
PLAN_0_0050,0,3,5,44
PLAN_0_0057,0,3,5,44
PLAN_0_0058,0,3,5,44
POLICY_0_0001,0,3,5,44
POLICY_0_0005,0,3,5,44
